Site;Day;Month;Year;Date;Annual_julian_day;Observer;ID;Serie_number;obs_number;Time;Approach_speed;FID
MV1;3;7;2021;2021-07-03;192;RHB;J086;1;0;12:50;40;365
MV1;3;7;2021;2021-07-03;192;RHB;J086;1;1;12:55;40;325
MV1;3;7;2021;2021-07-03;192;RHB;J086;1;2;13:00;40;330
MV1;3;7;2021;2021-07-03;192;RHB;J086;1;3;13:05;40;640
MV1;3;7;2021;2021-07-03;192;RHB;J086;1;4;13:10;40;405
MV1;14;7;2021;2021-07-14;203;RHB;J086;2;5;09:10;40;330
MV1;14;7;2021;2021-07-14;203;RHB;J086;2;6;09:15;40;370
MV1;14;7;2021;2021-07-14;203;RHB;J086;2;7;09:20;40;270
MV1;14;7;2021;2021-07-14;203;RHB;J086;2;8;09:25;40;390
MV1;14;7;2021;2021-07-14;203;RHB;J086;2;9;09:30;40;210
MV5;9;6;2021;2021-06-09;168;CCH;L003;1;0;12:25;20;300
MV5;9;6;2021;2021-06-09;168;CCH;L003;1;1;12:35;20;170
MV5;9;6;2021;2021-06-09;168;CCH;L003;1;2;12:45;20;175
MV5;24;6;2021;2021-06-24;183;CCH;L003;2;3;10:55;20;385
MV5;24;6;2021;2021-06-24;183;CCH;L003;2;4;11:00;20;95
MV5;24;6;2021;2021-06-24;183;CCH;L003;2;5;11:10;20;85
MV5;24;6;2021;2021-06-24;183;CCH;L003;2;6;11:35;20;470
MV5;24;6;2021;2021-06-24;183;CCH;L003;2;7;11:55;20;130
MV1;11;6;2021;2021-06-11;170;RHB;L007;1;0;11:30;60;370
MV1;11;6;2021;2021-06-11;170;RHB;L007;1;1;11:45;60;695
MV4;21;6;2021;2021-06-21;180;RHB;L101;1;0;11:40;60;335
MV4;21;6;2021;2021-06-21;180;RHB;L101;1;1;12:00;60;260
MV4;1;7;2021;2021-07-01;190;RHB;L101;2;2;11:05;60;325
MV4;1;7;2021;2021-07-01;190;RHB;L101;2;3;11:10;60;560
MV4;1;7;2021;2021-07-01;190;RHB;L101;2;4;11:30;60;325
MV4;1;7;2021;2021-07-01;190;RHB;L101;2;5;11:35;60;575
MV5;9;6;2021;2021-06-09;168;RHB;N004;1;0;12:25;40;510
MV5;9;6;2021;2021-06-09;168;RHB;N004;1;1;12:35;40;340
MV5;9;6;2021;2021-06-09;168;RHB;N004;1;2;13:00;40;315
MV5;16;6;2021;2021-06-16;175;RHB;N004;2;3;15:35;40;595
MV5;16;6;2021;2021-06-16;175;RHB;N004;2;4;15:45;40;250
MV5;16;6;2021;2021-06-16;175;RHB;N004;2;5;15:55;40;240
MV5;4;7;2021;2021-07-04;193;RHB;N004;3;6;09:05;40;125
MV5;4;7;2021;2021-07-04;193;RHB;N004;3;7;09:30;40;180
MV5;4;7;2021;2021-07-04;193;RHB;N004;3;8;09:35;40;205
MV5;4;7;2021;2021-07-04;193;RHB;N004;3;9;09:45;40;0
MV5;4;7;2021;2021-07-04;193;RHB;N004;3;10;10:10;40;130
MV1;12;7;2021;2021-07-12;201;RHB;N018;1;0;17:00;40;365
MV1;12;7;2021;2021-07-12;201;RHB;N018;1;1;17:05;40;365
MV1;12;7;2021;2021-07-12;201;RHB;N018;1;2;17:10;40;270
MV1;12;7;2021;2021-07-12;201;RHB;N018;1;3;17:15;40;335
MV1;12;7;2021;2021-07-12;201;RHB;N018;1;4;17:20;40;210
MV1;14;7;2021;2021-07-14;203;RHB;N018;2;5;11:30;40;360
MV1;14;7;2021;2021-07-14;203;RHB;N018;2;6;11:35;40;325
MV1;14;7;2021;2021-07-14;203;RHB;N018;2;7;11:40;40;300
MV1;14;7;2021;2021-07-14;203;RHB;N018;2;8;11:45;40;305
MV1;14;7;2021;2021-07-14;203;RHB;N018;2;9;12:00;40;225
